Index;Teilhaushalt;Produktgruppe;Betrag;Richtung;Art;Jahr
1110;Allgemeine Verwaltung;Steuerung;1231582;Aufwendungen;Plan;2018
1111;Allgemeine Verwaltung;Organisation und Dokumentation kommunaler Willensbildung;439162;Aufwendungen;Plan;2018
1112;Allgemeine Verwaltung;Steuerungsunterstützung und Controlling;799448;Aufwendungen;Plan;2018
1113;Allgemeine Verwaltung;Rechnungsprüfung;319991;Aufwendungen;Plan;2018
1114;Allgemeine Verwaltung;Zentrale Funktionen;478935;Aufwendungen;Plan;2018
1120;Allgemeine Verwaltung;Organisation und EDV;1993426;Aufwendungen;Plan;2018
1121;Allgemeine Verwaltung;Personalwesen;2182227;Aufwendungen;Plan;2018
1122;Allgemeine Verwaltung;Finanzverwaltung, Kasse;1157321;Aufwendungen;Plan;2018
1123;Allgemeine Verwaltung;Justitiariat;812361;Aufwendungen;Plan;2018
1124;Allgemeine Verwaltung;Gebäudemanagement, Techn. Immobilienmanagement;6602632;Aufwendungen;Plan;2018
1125;Allgemeine Verwaltung;Grünanlagen, Werkstätten und Fahrzeuge;5291578;Aufwendungen;Plan;2018
1126;Allgemeine Verwaltung;Zentrale Dienstleistungen;643790;Aufwendungen;Plan;2018
1130;Allgemeine Verwaltung;Presse- und Öffentlichkeitsarbeit;145760;Aufwendungen;Plan;2018
1132;Allgemeine Verwaltung;Abgabewesen;283099;Aufwendungen;Plan;2018
1133;Allgemeine Verwaltung;Grundstücksmanagement;1286814;Aufwendungen;Plan;2018
1210;Sicherheit und Ordnung;Statistik und Wahlen;149138;Aufwendungen;Plan;2018
1220;Sicherheit und Ordnung;Ordnungswesen;702074;Aufwendungen;Plan;2018
1221;Sicherheit und Ordnung;Verkehrswesen;867553;Aufwendungen;Plan;2018
1222;Sicherheit und Ordnung;Einwohnerwesen;1292438;Aufwendungen;Plan;2018
1223;Sicherheit und Ordnung;Personenstandswesen;456717;Aufwendungen;Plan;2018
1224;Sicherheit und Ordnung;Grundbuchwesen;5583;Aufwendungen;Plan;2018
1225;Sicherheit und Ordnung;Sozialversicherung;133413;Aufwendungen;Plan;2018
1260;Sicherheit und Ordnung;Brandschutz;2254163;Aufwendungen;Plan;2018
1280;Sicherheit und Ordnung;Katastrophenschutz;23262;Aufwendungen;Plan;2018
211001;Schulträgeraufgaben;Grundschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Grundschule;4759432;Aufwendungen;Plan;2018
211004;Schulträgeraufgaben;Realschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Realschulen;1007620;Aufwendungen;Plan;2018
211006;Schulträgeraufgaben;Gymnasien und Schulverbünde mit Gymnasien;5165011;Aufwendungen;Plan;2018
2120;Schulträgeraufgaben;Sonderpädagogische Bildungs- und Beratungszentren;568258;Aufwendungen;Plan;2018
2140;Schulträgeraufgaben;Schülerbezogene Leistungen;123660;Aufwendungen;Plan;2018
2150;Schulträgeraufgaben;Sonstige schulische Aufgaben und Einrichtungen;1138770;Aufwendungen;Plan;2018
2520;Kultur;Kommunale Museen;243263;Aufwendungen;Plan;2018
2521;Kultur;Archiv;445553;Aufwendungen;Plan;2018
2620;Kultur;Musikpflege;79110;Aufwendungen;Plan;2018
2630;Kultur;Musikschulen;728847;Aufwendungen;Plan;2018
2710;Kultur;Volkshochschulen;378482;Aufwendungen;Plan;2018
2720;Kultur;Bibliotheken;944667;Aufwendungen;Plan;2018
2810;Kultur;Sonstige Kulturpflege;713644;Aufwendungen;Plan;2018
3140;Kinder, Jugend und Soziales;Soziale Einrichtungen;1191369;Aufwendungen;Plan;2018
3150;Kinder, Jugend und Soziales;Leistungen nach dem Bundesversorgungsgesetz;18206;Aufwendungen;Plan;2018
3160;Kinder, Jugend und Soziales;Sonstige Förderung von Trägern der Wohlfahrtspflege;50830;Aufwendungen;Plan;2018
3180;Kinder, Jugend und Soziales;Sonstige soziale Hilfen und Leistungen;540809;Aufwendungen;Plan;2018
3620;Kinder, Jugend und Soziales;Allgemeine Förderung junger Menschen;1055975;Aufwendungen;Plan;2018
3630;Kinder, Jugend und Soziales;Hilfen für junge Menschen und ihre Familien;170000;Aufwendungen;Plan;2018
3650;Kinder, Jugend und Soziales;Tageseinrichtungen für Kinder und Kindertagespflege;19174397;Aufwendungen;Plan;2018
36500101;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 0 bis 6-jährige;17587758;Aufwendungen;Plan;2018
36500102;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 7 bis 14-jährige;1215386;Aufwendungen;Plan;2018
3680;Kinder, Jugend und Soziales;Kooperation und Vernetzung;47853;Aufwendungen;Plan;2018
4210;Gesundheit, Sport und Bäder;Förderung des Sports;590380;Aufwendungen;Plan;2018
4240;Gesundheit, Sport und Bäder;Bäder;1077195;Aufwendungen;Plan;2018
4241;Gesundheit, Sport und Bäder;Sportstätten;2827672;Aufwendungen;Plan;2018
5110;Planung, Infrastruktur und Umwelt;Stadtentwicklung, Städtebauliche Planung, Verkehrsplanung u. Stadterneuerung;1435242;Aufwendungen;Plan;2018
5111;Planung, Infrastruktur und Umwelt;Flächen- und grundstücksbezogene Daten und Grundlagen;978783;Aufwendungen;Plan;2018
5210;Planung, Infrastruktur und Umwelt;Bauordnung;549894;Aufwendungen;Plan;2018
5220;Planung, Infrastruktur und Umwelt;Wohnungsbauförderung und Wohnungsversorgung;86527;Aufwendungen;Plan;2018
5230;Planung, Infrastruktur und Umwelt;Denkmalschutz und Denkmalpflege;34520;Aufwendungen;Plan;2018
5410;Planung, Infrastruktur und Umwelt;Gemeindestraßen;9250779;Aufwendungen;Plan;2018
5420;Planung, Infrastruktur und Umwelt;Kreisstraßen;42088;Aufwendungen;Plan;2018
5430;Planung, Infrastruktur und Umwelt;Landesstraßen;1182090;Aufwendungen;Plan;2018
5440;Planung, Infrastruktur und Umwelt;Bundesstraßen;58847;Aufwendungen;Plan;2018
5450;Planung, Infrastruktur und Umwelt;Straßenreinigung und Winterdienst;1710788;Aufwendungen;Plan;2018
5460;Planung, Infrastruktur und Umwelt;Parkierungseinrichtungen;496635;Aufwendungen;Plan;2018
5470;Planung, Infrastruktur und Umwelt;Verkehrsbetriebe/ÖPNV;2353149;Aufwendungen;Plan;2018
5490;Planung, Infrastruktur und Umwelt;Öffentliche Toilettenanlagen;55196;Aufwendungen;Plan;2018
5510;Planung, Infrastruktur und Umwelt;Öffentliches Grün/Landschaftsbau;2177462;Aufwendungen;Plan;2018
5520;Planung, Infrastruktur und Umwelt;Gewässerschutz/Öffentliche Gewässer/Wasserbauliche Anlagen;676707;Aufwendungen;Plan;2018
5530;Planung, Infrastruktur und Umwelt;Friedhofs- und Bestattungswesen;1227671;Aufwendungen;Plan;2018
5540;Planung, Infrastruktur und Umwelt;Naturschutz und Landschaftspflege;341016;Aufwendungen;Plan;2018
5550;Planung, Infrastruktur und Umwelt;Forstwirtschaft;603291;Aufwendungen;Plan;2018
5610;Planung, Infrastruktur und Umwelt;Umweltschutzmaßnahmen;89342;Aufwendungen;Plan;2018
5350;Wirtschaft und Tourismus;Kombinierte Versorgung;0;Aufwendungen;Plan;2018
5360;Wirtschaft und Tourismus;Telekommunikationseinrichtungen;27400;Aufwendungen;Plan;2018
5370;Wirtschaft und Tourismus;Abfallwirtschaft;45000;Aufwendungen;Plan;2018
5710;Wirtschaft und Tourismus;Wirtschaftsförderung;163050;Aufwendungen;Plan;2018
5730;Wirtschaft und Tourismus;Allgemeine Einrichtungen und Unternehmen;573146;Aufwendungen;Plan;2018
5750;Wirtschaft und Tourismus;Tourismus;1366680;Aufwendungen;Plan;2018
6110;Allgemeine Finanzwirtschaft;Steuern, allgemeine Zuweisungen, allgemeine Umlagen;40738940;Aufwendungen;Plan;2018
6120;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;1460000;Aufwendungen;Plan;2018
ST01;Treuhandvermögen;Engelbrecht-Mitifiot-Stiftung;14900;Aufwendungen;Plan;2018
ST03;Treuhandvermögen;Jakob-Wolperth-Stiftung;153;Aufwendungen;Plan;2018
ST04;Treuhandvermögen;Maria-Diehl-Wohlfahrtsfonds;250;Aufwendungen;Plan;2018
ST06;Treuhandvermögen;Carl-Freundenberg-Stiftung;5400;Aufwendungen;Plan;2018
ST07;Treuhandvermögen;Sepp Herberger Grabpflege;500;Aufwendungen;Plan;2018
1110;Allgemeine Verwaltung;Steuerung;1230922;Erträge;Plan;2018
1111;Allgemeine Verwaltung;Organisation und Dokumentation kommunaler Willensbildung;439162;Erträge;Plan;2018
1112;Allgemeine Verwaltung;Steuerungsunterstützung und Controlling;799448;Erträge;Plan;2018
1113;Allgemeine Verwaltung;Rechnungsprüfung;319991;Erträge;Plan;2018
1114;Allgemeine Verwaltung;Zentrale Funktionen;478935;Erträge;Plan;2018
1120;Allgemeine Verwaltung;Organisation und EDV;740;Erträge;Plan;2018
1121;Allgemeine Verwaltung;Personalwesen;179540;Erträge;Plan;2018
1122;Allgemeine Verwaltung;Finanzverwaltung, Kasse;199260;Erträge;Plan;2018
1123;Allgemeine Verwaltung;Justitiariat;20;Erträge;Plan;2018
1124;Allgemeine Verwaltung;Gebäudemanagement, Techn. Immobilienmanagement;2185013;Erträge;Plan;2018
1125;Allgemeine Verwaltung;Grünanlagen, Werkstätten und Fahrzeuge;5028178;Erträge;Plan;2018
1126;Allgemeine Verwaltung;Zentrale Dienstleistungen;3740;Erträge;Plan;2018
1130;Allgemeine Verwaltung;Presse- und Öffentlichkeitsarbeit;0;Erträge;Plan;2018
1132;Allgemeine Verwaltung;Abgabewesen;4280;Erträge;Plan;2018
1133;Allgemeine Verwaltung;Grundstücksmanagement;191110;Erträge;Plan;2018
1210;Sicherheit und Ordnung;Statistik und Wahlen;10000;Erträge;Plan;2018
1220;Sicherheit und Ordnung;Ordnungswesen;71000;Erträge;Plan;2018
1221;Sicherheit und Ordnung;Verkehrswesen;730000;Erträge;Plan;2018
1222;Sicherheit und Ordnung;Einwohnerwesen;333850;Erträge;Plan;2018
1223;Sicherheit und Ordnung;Personenstandswesen;117500;Erträge;Plan;2018
1224;Sicherheit und Ordnung;Grundbuchwesen;1000;Erträge;Plan;2018
1225;Sicherheit und Ordnung;Sozialversicherung;0;Erträge;Plan;2018
1260;Sicherheit und Ordnung;Brandschutz;226270;Erträge;Plan;2018
1280;Sicherheit und Ordnung;Katastrophenschutz;0;Erträge;Plan;2018
211001;Schulträgeraufgaben;Grundschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Grundschule;1032280;Erträge;Plan;2018
211004;Schulträgeraufgaben;Realschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Realschulen;326810;Erträge;Plan;2018
211006;Schulträgeraufgaben;Gymnasien und Schulverbünde mit Gymnasien;2431893;Erträge;Plan;2018
2120;Schulträgeraufgaben;Sonderpädagogische Bildungs- und Beratungszentren;163270;Erträge;Plan;2018
2140;Schulträgeraufgaben;Schülerbezogene Leistungen;111000;Erträge;Plan;2018
2150;Schulträgeraufgaben;Sonstige schulische Aufgaben und Einrichtungen;344580;Erträge;Plan;2018
2520;Kultur;Kommunale Museen;11140;Erträge;Plan;2018
2521;Kultur;Archiv;1000;Erträge;Plan;2018
2620;Kultur;Musikpflege;5000;Erträge;Plan;2018
2630;Kultur;Musikschulen;0;Erträge;Plan;2018
2710;Kultur;Volkshochschulen;0;Erträge;Plan;2018
2720;Kultur;Bibliotheken;82140;Erträge;Plan;2018
2810;Kultur;Sonstige Kulturpflege;53360;Erträge;Plan;2018
3140;Kinder, Jugend und Soziales;Soziale Einrichtungen;903920;Erträge;Plan;2018
3150;Kinder, Jugend und Soziales;Leistungen nach dem Bundesversorgungsgesetz;0;Erträge;Plan;2018
3160;Kinder, Jugend und Soziales;Sonstige Förderung von Trägern der Wohlfahrtspflege;0;Erträge;Plan;2018
3180;Kinder, Jugend und Soziales;Sonstige soziale Hilfen und Leistungen;618000;Erträge;Plan;2018
3620;Kinder, Jugend und Soziales;Allgemeine Förderung junger Menschen;65000;Erträge;Plan;2018
3630;Kinder, Jugend und Soziales;Hilfen für junge Menschen und ihre Familien;0;Erträge;Plan;2018
3650;Kinder, Jugend und Soziales;Tageseinrichtungen für Kinder und Kindertagespflege;7519610;Erträge;Plan;2018
36500101;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 0 bis 6-jährige;7133150;Erträge;Plan;2018
36500102;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 7 bis 14-jährige;386460;Erträge;Plan;2018
3680;Kinder, Jugend und Soziales;Kooperation und Vernetzung;0;Erträge;Plan;2018
4210;Gesundheit, Sport und Bäder;Förderung des Sports;0;Erträge;Plan;2018
4240;Gesundheit, Sport und Bäder;Bäder;234850;Erträge;Plan;2018
4241;Gesundheit, Sport und Bäder;Sportstätten;1397285;Erträge;Plan;2018
5110;Planung, Infrastruktur und Umwelt;Stadtentwicklung, Städtebauliche Planung, Verkehrsplanung u. Stadterneuerung;303600;Erträge;Plan;2018
5111;Planung, Infrastruktur und Umwelt;Flächen- und grundstücksbezogene Daten und Grundlagen;431000;Erträge;Plan;2018
5210;Planung, Infrastruktur und Umwelt;Bauordnung;505000;Erträge;Plan;2018
5220;Planung, Infrastruktur und Umwelt;Wohnungsbauförderung und Wohnungsversorgung;0;Erträge;Plan;2018
5230;Planung, Infrastruktur und Umwelt;Denkmalschutz und Denkmalpflege;0;Erträge;Plan;2018
5410;Planung, Infrastruktur und Umwelt;Gemeindestraßen;1130212;Erträge;Plan;2018
5420;Planung, Infrastruktur und Umwelt;Kreisstraßen;0;Erträge;Plan;2018
5430;Planung, Infrastruktur und Umwelt;Landesstraßen;19920;Erträge;Plan;2018
5440;Planung, Infrastruktur und Umwelt;Bundesstraßen;0;Erträge;Plan;2018
5450;Planung, Infrastruktur und Umwelt;Straßenreinigung und Winterdienst;23000;Erträge;Plan;2018
5460;Planung, Infrastruktur und Umwelt;Parkierungseinrichtungen;371520;Erträge;Plan;2018
5470;Planung, Infrastruktur und Umwelt;Verkehrsbetriebe/ÖPNV;1187840;Erträge;Plan;2018
5490;Planung, Infrastruktur und Umwelt;Öffentliche Toilettenanlagen;37770;Erträge;Plan;2018
5510;Planung, Infrastruktur und Umwelt;Öffentliches Grün/Landschaftsbau;8050;Erträge;Plan;2018
5520;Planung, Infrastruktur und Umwelt;Gewässerschutz/Öffentliche Gewässer/Wasserbauliche Anlagen;17230;Erträge;Plan;2018
5530;Planung, Infrastruktur und Umwelt;Friedhofs- und Bestattungswesen;399440;Erträge;Plan;2018
5540;Planung, Infrastruktur und Umwelt;Naturschutz und Landschaftspflege;169214;Erträge;Plan;2018
5550;Planung, Infrastruktur und Umwelt;Forstwirtschaft;341340;Erträge;Plan;2018
5610;Planung, Infrastruktur und Umwelt;Umweltschutzmaßnahmen;0;Erträge;Plan;2018
5350;Wirtschaft und Tourismus;Kombinierte Versorgung;2757500;Erträge;Plan;2018
5360;Wirtschaft und Tourismus;Telekommunikationseinrichtungen;0;Erträge;Plan;2018
5370;Wirtschaft und Tourismus;Abfallwirtschaft;0;Erträge;Plan;2018
5710;Wirtschaft und Tourismus;Wirtschaftsförderung;0;Erträge;Plan;2018
5730;Wirtschaft und Tourismus;Allgemeine Einrichtungen und Unternehmen;56620;Erträge;Plan;2018
5750;Wirtschaft und Tourismus;Tourismus;319170;Erträge;Plan;2018
6110;Allgemeine Finanzwirtschaft;Steuern, allgemeine Zuweisungen, allgemeine Umlagen;97565220;Erträge;Plan;2018
6120;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;41300;Erträge;Plan;2018
ST01;Treuhandvermögen;Engelbrecht-Mitifiot-Stiftung;14900;Erträge;Plan;2018
ST03;Treuhandvermögen;Jakob-Wolperth-Stiftung;153;Erträge;Plan;2018
ST04;Treuhandvermögen;Maria-Diehl-Wohlfahrtsfonds;250;Erträge;Plan;2018
ST06;Treuhandvermögen;Carl-Freundenberg-Stiftung;5400;Erträge;Plan;2018
ST07;Treuhandvermögen;Sepp Herberger Grabpflege;0;Erträge;Plan;2018
